category,headline,short_description,content
Business,The 10 Best Marketing Tweets I've Ever Seen,"While a brand used to have to spend zillions of dollars to get its ad on TV or its logo on a billboard, now social media like Twitter make it possible to reach millions of people quickly, without spending millions of dollars.","The 10 Best Marketing Tweets I've Ever Seen While a brand used to have to spend zillions of dollars to get its ad on TV or its logo on a billboard, now social media like Twitter make it possible to reach millions of people quickly, without spending millions of dollars."
Health,8 Steps to Stop Your Nighttime Binges,"Do you sometimes sneak a late-night snack, even after you've had a big dinner? Or worse, do you find yourself hungry and craving sugar and carbs at night? You may think you're alone, but nighttime eating is a common problem.","8 Steps to Stop Your Nighttime Binges Do you sometimes sneak a late-night snack, even after you've had a big dinner? Or worse, do you find yourself hungry and craving sugar and carbs at night? You may think you're alone, but nighttime eating is a common problem."
Tech,Bridging the Gap: STEM Subjects Are NOT Just for Boys,Bridging the Gap: STEM Subjects Are NOT Just for Boys,Bridging the Gap: STEM Subjects Are NOT Just for Boys Bridging the Gap: STEM Subjects Are NOT Just for Boys
Business,KFC Urged To Stop Routine Use Of Antibiotics On Poultry,More than 70 percent of medically important antibiotics in the United States are sold for use on livestock and poultry.,KFC Urged To Stop Routine Use Of Antibiotics On Poultry More than 70 percent of medically important antibiotics in the United States are sold for use on livestock and poultry.
Business,What You Don't Know About Overnight Success,"I've been fighting this thing for 32 years. ""Overnight"" success doesn't happen overnight for most people. The media delivers this bad news and perpetuates lies making you believe that you are a failure because you didn't see the same results from your efforts.","What You Don't Know About Overnight Success I've been fighting this thing for 32 years. ""Overnight"" success doesn't happen overnight for most people. The media delivers this bad news and perpetuates lies making you believe that you are a failure because you didn't see the same results from your efforts."
Business,Happy National Coffee Day! Here Are 10 Jobs Where Workers Need Coffee To Survive,Younger workers and those in the Northeast are particularly big coffee drinkers. And don’t think those who start their day,Happy National Coffee Day! Here Are 10 Jobs Where Workers Need Coffee To Survive Younger workers and those in the Northeast are particularly big coffee drinkers. And don’t think those who start their day
Health,Proof That Employee Well-Being Is A Priority In 2015,,Proof That Employee Well-Being Is A Priority In 2015 
Politics,Western Forces Try To Stem Jihadist Advances In Africa,"SAHARA DESERT, Niger — A group of light armored vehicles skated over the moonscape of the Sahara, part of one of the largest","Western Forces Try To Stem Jihadist Advances In Africa SAHARA DESERT, Niger — A group of light armored vehicles skated over the moonscape of the Sahara, part of one of the largest"
Business,Reinventing Win-Win-Win Business Relationships,"People -- including your prospects and customers -- want to know that you care.  Show them you have an interest greater than the money they are exchanging for the service you're delivering.  It's about how you can positively impact their business, their customers and their lives.","Reinventing Win-Win-Win Business Relationships People -- including your prospects and customers -- want to know that you care.  Show them you have an interest greater than the money they are exchanging for the service you're delivering.  It's about how you can positively impact their business, their customers and their lives."
Health,How To Get Better Sleep With A Snorer,,How To Get Better Sleep With A Snorer 
Sports,NFL To Lobby Congress On Player Safety,"After a tough year in the headlines, and with a major movie about football concussions arriving in theaters this Christmas","NFL To Lobby Congress On Player Safety After a tough year in the headlines, and with a major movie about football concussions arriving in theaters this Christmas"
Politics,"Lindsey Graham, Susan Collins Defend Joe Biden Amid Touching Allegations","The Republican senators shrugged off the accusations. ""He means nothing bad by this,"" Graham said.","Lindsey Graham, Susan Collins Defend Joe Biden Amid Touching Allegations The Republican senators shrugged off the accusations. ""He means nothing bad by this,"" Graham said."
Health,Scientists Pinpoint Where 'Christmas Cheer' Lives In The Brain,This brain network is linked to spirituality and the ability to relate to others.,Scientists Pinpoint Where 'Christmas Cheer' Lives In The Brain This brain network is linked to spirituality and the ability to relate to others.
Entertainment,Mischa Barton Joins 'Dancing With The Stars',"Mmm, whatcha say? Barton's joining Season 22?","Mischa Barton Joins 'Dancing With The Stars' Mmm, whatcha say? Barton's joining Season 22?"
Tech,Four Graphics (And A Book) That Help Explain Climate Change,"2015 was the world's warmest year, but these charts tell the long story about the climate.","Four Graphics (And A Book) That Help Explain Climate Change 2015 was the world's warmest year, but these charts tell the long story about the climate."
Business,Can Entrepreneurship Be Taught?,"Although it is difficult to directly correlate NFTE's work to increased employment, research has shown that NFTE's educational","Can Entrepreneurship Be Taught? Although it is difficult to directly correlate NFTE's work to increased employment, research has shown that NFTE's educational"
Politics,Former Astronaut Laments 'Irresponsible' Withdrawal From Paris Agreement,"""I saw our planet change in one decade. This is nuts.""","Former Astronaut Laments 'Irresponsible' Withdrawal From Paris Agreement ""I saw our planet change in one decade. This is nuts."""
Tech,Twitter HQ Justin Bieber Flash Mob: Employees Dance To 'Baby' At San Francisco Office (VIDEO),"In their YouTube video, Twitter explained the decision was inspired by the wise words of Abraham Lincoln: ""If you can't Bieb","Twitter HQ Justin Bieber Flash Mob: Employees Dance To 'Baby' At San Francisco Office (VIDEO) In their YouTube video, Twitter explained the decision was inspired by the wise words of Abraham Lincoln: ""If you can't Bieb"
Health,"7 All-Natural, Cooling, Homemade Face Mask Recipes","Warm summer weather is in full gear, which means cooling off takes a little more creativity. Your skin usually helps you keep cool, so why don't you return the favor and pamper your body's peel with a cooling homemade facial mask?","7 All-Natural, Cooling, Homemade Face Mask Recipes Warm summer weather is in full gear, which means cooling off takes a little more creativity. Your skin usually helps you keep cool, so why don't you return the favor and pamper your body's peel with a cooling homemade facial mask?"
Sports,Pity The Fools Who Don't Love Mr. T's Inspirational Olympics Tweets,"""You heard me, curling Fool!""","Pity The Fools Who Don't Love Mr. T's Inspirational Olympics Tweets ""You heard me, curling Fool!"""
Politics,"#MeToo Affects The Legislature, Too",It’s a good thing that the allegations against Harvey Weinstein have led to a broader mobilization against sexual assault,"#MeToo Affects The Legislature, Too It’s a good thing that the allegations against Harvey Weinstein have led to a broader mobilization against sexual assault"
Business,The Promising Future of Real Estate Crowdfunding,"The American public's trust in big banks is nearing all-time lows. An increasing number of investors are tired of receiving zero to negligible net returns from their local banks. As a result, a higher percentage of investors are seeking new avenues for efficient and transparent investing.","The Promising Future of Real Estate Crowdfunding The American public's trust in big banks is nearing all-time lows. An increasing number of investors are tired of receiving zero to negligible net returns from their local banks. As a result, a higher percentage of investors are seeking new avenues for efficient and transparent investing."
Sports,The History Of The National Anthem In Sports,"How ""The Star-Spangled Banner"" became a part of American sports culture.","The History Of The National Anthem In Sports How ""The Star-Spangled Banner"" became a part of American sports culture."
Sports,Deion Sanders Jr.'s Meeting With Lil Wayne Being Investigated By SMU,"In fact, as Dallas Morning News' College Sports Blog points out, Sanders' dad, NFL Hall of Famer Deion Sanders, has said","Deion Sanders Jr.'s Meeting With Lil Wayne Being Investigated By SMU In fact, as Dallas Morning News' College Sports Blog points out, Sanders' dad, NFL Hall of Famer Deion Sanders, has said"
Sports,Naked Andrew Luck Accidentally Photobombed Pat McAfee's Locker Room Picture After Colts Win,Andrew Luck isn't always as fortunate as his surname suggests. The Indianapolis Colts' quarterback was in the wrong place,Naked Andrew Luck Accidentally Photobombed Pat McAfee's Locker Room Picture After Colts Win Andrew Luck isn't always as fortunate as his surname suggests. The Indianapolis Colts' quarterback was in the wrong place
Politics,Franken To Address Senate Amid Groping And Forcible Kissing Allegations,"Franken's Senate colleagues, led by women senators, are calling on him to resign.","Franken To Address Senate Amid Groping And Forcible Kissing Allegations Franken's Senate colleagues, led by women senators, are calling on him to resign."
Politics,The President Plays With Matches And The Whole World Burns,California is ready to explode in flames. Sort of like the whole world in the age of Trump.,The President Plays With Matches And The Whole World Burns California is ready to explode in flames. Sort of like the whole world in the age of Trump.
Tech,Lonely Inside the World of Technology,"In a world where parents, mentors, and student leaders are trying to keep up with the latest technology, there's a place where we can lock arms to develop a balanced view of relationship.","Lonely Inside the World of Technology In a world where parents, mentors, and student leaders are trying to keep up with the latest technology, there's a place where we can lock arms to develop a balanced view of relationship."
Business,Is Job Hunting During the Holidays a Waste of Time?,"Because so many job seekers slack off during the end of the year, for the holidays or just because they have more to do in their personal lives, fewer job seekers go after every job. Which means less competition for most jobs.","Is Job Hunting During the Holidays a Waste of Time? Because so many job seekers slack off during the end of the year, for the holidays or just because they have more to do in their personal lives, fewer job seekers go after every job. Which means less competition for most jobs."
Health,Have a Valentine Love Affair With Your Self,A great way to pamper yourself with the attention and affection that we all crave -- that we lavish on others but never think to give to ourselves -- is to have a love affair with your Self.,Have a Valentine Love Affair With Your Self A great way to pamper yourself with the attention and affection that we all crave -- that we lavish on others but never think to give to ourselves -- is to have a love affair with your Self.
Politics,Trump Claims Trump University Judge Has 'Absolute Conflict',"Donald Trump said that the federal judge presiding over a lawsuit brought by former Trump University students has an ""absolute","Trump Claims Trump University Judge Has 'Absolute Conflict' Donald Trump said that the federal judge presiding over a lawsuit brought by former Trump University students has an ""absolute"
Sports,"Alex Morgan Talks World Cup, Wedding Planning, And Yoga On The Road",,"Alex Morgan Talks World Cup, Wedding Planning, And Yoga On The Road "
Health,What Is a Tool?,"As a therapist, the No. 1 complaint I hear from patients is that therapy takes too long to work. Why do we have to wait for what seems like forever for change to begin?","What Is a Tool? As a therapist, the No. 1 complaint I hear from patients is that therapy takes too long to work. Why do we have to wait for what seems like forever for change to begin?"
Business,When Prophecy Fails - NYTimes.com,Back in the 1950s three social psychologists joined a cult that was predicting the imminent end of the world. Their purpose,When Prophecy Fails - NYTimes.com Back in the 1950s three social psychologists joined a cult that was predicting the imminent end of the world. Their purpose
Business,Equifax CEO Steps Down In The Wake Of Major Hack,A data breach at the credit monitoring company had exposed the private information of some 143 million Americans.,Equifax CEO Steps Down In The Wake Of Major Hack A data breach at the credit monitoring company had exposed the private information of some 143 million Americans.
Business,What Is the Optimal Credit Score?,"Truthfully, the highest credit score is not the score you should be shooting for. The whole point of a credit score is to get you the best rates and credit limits when you are applying for loans and credits. While it seems like the highest score would get you the best rates, you actually don't even need to aim that high.","What Is the Optimal Credit Score? Truthfully, the highest credit score is not the score you should be shooting for. The whole point of a credit score is to get you the best rates and credit limits when you are applying for loans and credits. While it seems like the highest score would get you the best rates, you actually don't even need to aim that high."
Business,13 American Cities Going Broke: 24/7 Wall St.,Detroit’s 2011 general fund revenue was $1.23 billion while its outstanding debt was more than $2.5 billion. For some speculative,13 American Cities Going Broke: 24/7 Wall St. Detroit’s 2011 general fund revenue was $1.23 billion while its outstanding debt was more than $2.5 billion. For some speculative
Business,Can Trump Create Millions of Jobs? Don't Bet On It,,Can Trump Create Millions of Jobs? Don't Bet On It 
Health,A Few Turns of the Moon,"For all the hardships that life throws at us, I have always felt that life keeps living. Perhaps not in the same form or in a way that is recognizable. But life keeps pulsing under everything.","A Few Turns of the Moon For all the hardships that life throws at us, I have always felt that life keeps living. Perhaps not in the same form or in a way that is recognizable. But life keeps pulsing under everything."
Health,Change Is Easier Than You Think: Thinking's the Problem,"We all want to change something. Most of us have tried and had either fleeting success or chalked up a failure. The way we think about change is the problem. In this arena (unlike most), we think too much. We usually think our way to keeping things exactly as they are.","Change Is Easier Than You Think: Thinking's the Problem We all want to change something. Most of us have tried and had either fleeting success or chalked up a failure. The way we think about change is the problem. In this arena (unlike most), we think too much. We usually think our way to keeping things exactly as they are."
Entertainment,"19 Emma Thompson Hairstyles, Ranked","Netflix's new ""The Meyerowitz Stories"" features a hippie-lite 'do that's one of Thompson's best.","19 Emma Thompson Hairstyles, Ranked Netflix's new ""The Meyerowitz Stories"" features a hippie-lite 'do that's one of Thompson's best."
Sports,Tatum's Layup At Buzzer Gives Celtics 115-114 Win Over Nets,Jayson Tatum made a layup at the buzzer on a pass from Marcus Smart to give the Boston Celtics a dramatic 115-114 victory over the Brooklyn Nets in the Game 1 of their first-round playoff series,Tatum's Layup At Buzzer Gives Celtics 115-114 Win Over Nets Jayson Tatum made a layup at the buzzer on a pass from Marcus Smart to give the Boston Celtics a dramatic 115-114 victory over the Brooklyn Nets in the Game 1 of their first-round playoff series
Tech,"Why We Should Focus On Our Babies, Not Our Screens",Kids can reap many benefits from using apps -- once they hit a certain age.,"Why We Should Focus On Our Babies, Not Our Screens Kids can reap many benefits from using apps -- once they hit a certain age."
Health,"Herlinda Garcia, Texas Woman, Wins $367,500 In Court After Breast Cancer Misdiagnosis","Imagine being told you had an advanced form of cancer, only to find out months later -- after undergoing chemotherapy and","Herlinda Garcia, Texas Woman, Wins $367,500 In Court After Breast Cancer Misdiagnosis Imagine being told you had an advanced form of cancer, only to find out months later -- after undergoing chemotherapy and"
Entertainment,Egypt Lawyers Say Journalist Detained For 'False News',"After more than eight hours of questioning in Cairo on Tuesday, prosecutors ordered Ismail Alexandrani jailed for 15 days pending investigations","Egypt Lawyers Say Journalist Detained For 'False News' After more than eight hours of questioning in Cairo on Tuesday, prosecutors ordered Ismail Alexandrani jailed for 15 days pending investigations"
Health,What A Summer of Sickness Taught Me About Being a Man,By James Prenatt Last summer I became engaged to the woman who would later become my wife.  It wasn’t an easy time and it,What A Summer of Sickness Taught Me About Being a Man By James Prenatt Last summer I became engaged to the woman who would later become my wife.  It wasn’t an easy time and it
Tech,This Slow-Motion Video Of Tattooing Is Painfully Beautiful,,This Slow-Motion Video Of Tattooing Is Painfully Beautiful 
Business,MasterCard Wants You To Pay For Stuff With Selfies,The company is rolling out a new security feature which will allow cardholders to use a selfie or a fingerprint to verify their identity.,MasterCard Wants You To Pay For Stuff With Selfies The company is rolling out a new security feature which will allow cardholders to use a selfie or a fingerprint to verify their identity.
Business,The 10 Least Livable Countries,,The 10 Least Livable Countries 
Business,Labor's Day Remembered,"We celebrate another Labor Day, a national holiday, and how do we remember it?  I would like to remember it as some other developed countries celebrate it.","Labor's Day Remembered We celebrate another Labor Day, a national holiday, and how do we remember it?  I would like to remember it as some other developed countries celebrate it."
Entertainment,James McAvoy Got Buff And People On Twitter Really Like It,Just call him Professor XXL.,James McAvoy Got Buff And People On Twitter Really Like It Just call him Professor XXL.
Health,"Obesity Fight Must Shift From Personal Blame, IOM Urges","The IOM panel included members from academia, government, and the private sector. It scrutinized some 800 programs and interventions","Obesity Fight Must Shift From Personal Blame, IOM Urges The IOM panel included members from academia, government, and the private sector. It scrutinized some 800 programs and interventions"
Sports,"Clemson Beats Oklahoma, Advancing To National Championship Game",The Tigers remain undefeated!,"Clemson Beats Oklahoma, Advancing To National Championship Game The Tigers remain undefeated!"
Health,"Healthcare Costs Driven By High Device, Drug Prices: Researchers","Elbert Huang, MD, MPH, FACP, associate professor of medicine at the University of Chicago, agreed that U.S. costs are partially","Healthcare Costs Driven By High Device, Drug Prices: Researchers Elbert Huang, MD, MPH, FACP, associate professor of medicine at the University of Chicago, agreed that U.S. costs are partially"
Politics,'Heavy Cold' Forces Britain's Queen Elizabeth II To Miss Christmas Church Service,"""The Queen continues to recover from a heavy cold and will stay indoors to assist with her recovery.""","'Heavy Cold' Forces Britain's Queen Elizabeth II To Miss Christmas Church Service ""The Queen continues to recover from a heavy cold and will stay indoors to assist with her recovery."""
Health,10 Superfoods That May Not Be All That Super,"Chocolate, coffee, and red wine have been deemed ""superfoods"" for the super effects they have on our health, but some benefits","10 Superfoods That May Not Be All That Super Chocolate, coffee, and red wine have been deemed ""superfoods"" for the super effects they have on our health, but some benefits"
Business,Volkswagen Cars Aren't The Only Ones Releasing More Pollutants Than They Should,"Diesel cars made by Renault, Nissan, Hyundai, Citroen, Fiat and Volvo among others emitted far more NOx in more rigorous tests, research shows.","Volkswagen Cars Aren't The Only Ones Releasing More Pollutants Than They Should Diesel cars made by Renault, Nissan, Hyundai, Citroen, Fiat and Volvo among others emitted far more NOx in more rigorous tests, research shows."
Tech,Facebook Has Halloween Snapchat-Like Filters For Live Video,"Don't just ""like"" your friend's engagement photo. Send a cackling witch!","Facebook Has Halloween Snapchat-Like Filters For Live Video Don't just ""like"" your friend's engagement photo. Send a cackling witch!"
Politics,HuffPost Rise: What You Need To Know On March 23,"Welcome to the HuffPost Rise Morning Newsbrief, a short wrap-up of the news to help you start your day.","HuffPost Rise: What You Need To Know On March 23 Welcome to the HuffPost Rise Morning Newsbrief, a short wrap-up of the news to help you start your day."
Politics,Republicans Sneer At U.S. Capitol Security Fence In Scathing Supercut,The barrier much maligned by GOP lawmakers was removed just days before Friday's deadly vehicle attack on the complex.,Republicans Sneer At U.S. Capitol Security Fence In Scathing Supercut The barrier much maligned by GOP lawmakers was removed just days before Friday's deadly vehicle attack on the complex.
Business,6 Things Great Leaders Do Differently,"Great leadership can be a difficult thing to pin down and understand. You know a great leader when you're working for one, but even they can have a hard time articulating what it is that makes their leadership so effective.","6 Things Great Leaders Do Differently Great leadership can be a difficult thing to pin down and understand. You know a great leader when you're working for one, but even they can have a hard time articulating what it is that makes their leadership so effective."
Tech,NY Tech Scene - Rising,"Have a great week NY Techsters... www.catchafire.org Tips, events, or N.Y. Tech news? Email me at Srosenbaum (at) nycedc","NY Tech Scene - Rising Have a great week NY Techsters... www.catchafire.org Tips, events, or N.Y. Tech news? Email me at Srosenbaum (at) nycedc"
Entertainment,College Student Makes Netflix His Valentine,"Technically, I'm in love with Netflix and I'm going public about it. Dad if you're reading this I'm sorry I didn't turn out to be the heterosexual man you wanted. All I want is to live freely as a technosexual. I'm happy and proud.","College Student Makes Netflix His Valentine Technically, I'm in love with Netflix and I'm going public about it. Dad if you're reading this I'm sorry I didn't turn out to be the heterosexual man you wanted. All I want is to live freely as a technosexual. I'm happy and proud."
Business,Swiss National Bank: Well Played!,"The market reaction was brutal, punishing the Euro and every foreign exchange and options trader on the wrong side of this trade. Some forex trading firms will go under. Foreign exchange trading desks within banks are, of course, part of ongoing unwilling taxpayer largesse.","Swiss National Bank: Well Played! The market reaction was brutal, punishing the Euro and every foreign exchange and options trader on the wrong side of this trade. Some forex trading firms will go under. Foreign exchange trading desks within banks are, of course, part of ongoing unwilling taxpayer largesse."
Health,"Psychiatry Must Be a Science, Not an Art","As every other medical field has been driven by high tech and dynamic science, psychiatry has spent decades refining the art of trial and error.  With more patients every year suffering from mental health disorders, it's time to take the lessons we've learned in the rest of medicine.","Psychiatry Must Be a Science, Not an Art As every other medical field has been driven by high tech and dynamic science, psychiatry has spent decades refining the art of trial and error.  With more patients every year suffering from mental health disorders, it's time to take the lessons we've learned in the rest of medicine."
Entertainment,Here's Everything Wrong With 'Gravity' As Told By Neil deGrasse Tyson,,Here's Everything Wrong With 'Gravity' As Told By Neil deGrasse Tyson 
Health,The Flip Side Of Fear,"What are you afraid of? Did sharks pop into your head? If so, you may have galeophobia, which stops thousands of Americans","The Flip Side Of Fear What are you afraid of? Did sharks pop into your head? If so, you may have galeophobia, which stops thousands of Americans"
Politics,Mistrial For Alabama Officer Charged After Assaulting Indian Man,Sept 11 (Reuters) - A U.S. judge declared a mistrial on Friday in the case of an Alabama policeman on trial for violating,Mistrial For Alabama Officer Charged After Assaulting Indian Man Sept 11 (Reuters) - A U.S. judge declared a mistrial on Friday in the case of an Alabama policeman on trial for violating
Health,Yoga: Helping Survivors of Sexual Trauma to Heal,Zabie Khorakiwala has managed UC Irvine's violence prevention programs for the past two years and became dedicated to providing survivors of sexual trauma with tangible ways to heal.,Yoga: Helping Survivors of Sexual Trauma to Heal Zabie Khorakiwala has managed UC Irvine's violence prevention programs for the past two years and became dedicated to providing survivors of sexual trauma with tangible ways to heal.
Entertainment,Singer Seal Accuses Oprah Of Knowing About Weinstein Rumors 'For Decades',"He claimed the media mogul is “part of the problem,” not the solution.","Singer Seal Accuses Oprah Of Knowing About Weinstein Rumors 'For Decades' He claimed the media mogul is “part of the problem,” not the solution."
Entertainment,Dr. Evil Resurfaces With Wild Claims About Working For Donald Trump,And there's one Trump policy that's too evil -- even for him.,Dr. Evil Resurfaces With Wild Claims About Working For Donald Trump And there's one Trump policy that's too evil -- even for him.
Tech,"Trademarks Show Amazon Has Sights On Meal-Kits, 'Single Cow Burgers' And Other Fast Food Options","By Ingrid Lunden Amazon has made no secret of its ambitions to expand into more fresh food services, from its own, homegrown","Trademarks Show Amazon Has Sights On Meal-Kits, 'Single Cow Burgers' And Other Fast Food Options By Ingrid Lunden Amazon has made no secret of its ambitions to expand into more fresh food services, from its own, homegrown"
Tech,Tajikistan Blocks Facebook,(Writing by Robin Paxton; Editing by Ben Harding) The communications service was not available for comment. Government officials,Tajikistan Blocks Facebook (Writing by Robin Paxton; Editing by Ben Harding) The communications service was not available for comment. Government officials
Entertainment,Trevor Noah Eviscerates Media's Fake Outrage (And Defends Trump),"""Trump wasn't trying to demean anyone in this particular case. Clearly, he was having an off-day.""","Trevor Noah Eviscerates Media's Fake Outrage (And Defends Trump) ""Trump wasn't trying to demean anyone in this particular case. Clearly, he was having an off-day."""
Business,Theranos Is Subject Of Criminal Probe By U.S.,Federal prosecutors are investigating whether the blood-testing company misled investors about the state of its technology,Theranos Is Subject Of Criminal Probe By U.S. Federal prosecutors are investigating whether the blood-testing company misled investors about the state of its technology
Tech,Wayne Dobson Doesn't Have Your Cell Phone -- But He Might Get Your 911 Call,A lot of people have been coming to Wayne Dobson's house lately -- but he's not happy about it. Las Vegas-based local news,Wayne Dobson Doesn't Have Your Cell Phone -- But He Might Get Your 911 Call A lot of people have been coming to Wayne Dobson's house lately -- but he's not happy about it. Las Vegas-based local news
Health,Crucial Steps To Healthy Hospital Stays,"In the end, we make our situations what they are. Instead of sinking into my hospital bed and losing myself in the process","Crucial Steps To Healthy Hospital Stays In the end, we make our situations what they are. Instead of sinking into my hospital bed and losing myself in the process"
Politics,Donald Trump's New Evangelical Advisers Neither Love Him Nor Hate Him. They Just Want Him To Listen.,Some members of the group have criticized Trump in the past.,Donald Trump's New Evangelical Advisers Neither Love Him Nor Hate Him. They Just Want Him To Listen. Some members of the group have criticized Trump in the past.
Sports,"Rams, Cowboys Can't Play Nice At Joint Practice, Brawl Instead",A play date gone bad.,"Rams, Cowboys Can't Play Nice At Joint Practice, Brawl Instead A play date gone bad."
Politics,Why We're All Becoming Independent Contractors,"The rise of ""independent contractors"" Is the most significant legal trend in the American workforce -- contributing directly to low pay, irregular hours, and job insecurity. It's become a race to the bottom.","Why We're All Becoming Independent Contractors The rise of ""independent contractors"" Is the most significant legal trend in the American workforce -- contributing directly to low pay, irregular hours, and job insecurity. It's become a race to the bottom."
Politics,Senate Republicans Say Trump Ruled Out 'Dreamer' Protections In Spending Bill,Get ready for a government shutdown fight.,Senate Republicans Say Trump Ruled Out 'Dreamer' Protections In Spending Bill Get ready for a government shutdown fight.
Health,Beauty and the Boy: The Impact of Negative Body Image on Our Boys,"Even as our acceptance of less rigid gender roles grows in other areas, the pressure on boys to be ""toned and muscular"" represents a return to a traditional notion of masculinity and what it means to be a man. The message: It's fine if boys want to go around wearing sparkly nail polish as kids, as long as they grow up to be big and strong and macho.","Beauty and the Boy: The Impact of Negative Body Image on Our Boys Even as our acceptance of less rigid gender roles grows in other areas, the pressure on boys to be ""toned and muscular"" represents a return to a traditional notion of masculinity and what it means to be a man. The message: It's fine if boys want to go around wearing sparkly nail polish as kids, as long as they grow up to be big and strong and macho."
Health,4 Healthy Games To Play With Your Cat,So how do you play with your cat? Miller identifies four feline-preferred game styles and the best times to play: Never underestimate,4 Healthy Games To Play With Your Cat So how do you play with your cat? Miller identifies four feline-preferred game styles and the best times to play: Never underestimate
Tech,"Sharks Follow Their Noses For A Lot More Than Just Prey, Study Finds",And we thought their teeth were scary....,"Sharks Follow Their Noses For A Lot More Than Just Prey, Study Finds And we thought their teeth were scary...."
Entertainment,"Washington Post Reporter Convicted In Iran Angry And Depressed, Brother Says","""We are back in a different waiting pattern.""","Washington Post Reporter Convicted In Iran Angry And Depressed, Brother Says ""We are back in a different waiting pattern."""
Politics,Report: SEC Probing Kushner Company Role In Visas-For-Money Program,Chinese who invest in Kushner company real estate deals can get green cards.,Report: SEC Probing Kushner Company Role In Visas-For-Money Program Chinese who invest in Kushner company real estate deals can get green cards.
Tech,Apple Broke A New Record With iOS 9,And the cycle continues.,Apple Broke A New Record With iOS 9 And the cycle continues.
Business,5 Ways to Be a Better Listener,"We check our phones many, many times per day, whether it be to look at the time or a text message. Keep your attention fully on the person you're talking to by resisting the urge to check your phone.","5 Ways to Be a Better Listener We check our phones many, many times per day, whether it be to look at the time or a text message. Keep your attention fully on the person you're talking to by resisting the urge to check your phone."
Health,Stop Blaming Donald Trump's Bad Leadership On Mental Illness,Reminder: You can be horrible without having a mental health issue.,Stop Blaming Donald Trump's Bad Leadership On Mental Illness Reminder: You can be horrible without having a mental health issue.
Entertainment,"Yes, Jennifer Lawrence Does Wash Her Hands In The Bathroom",And she has a video to prove it.,"Yes, Jennifer Lawrence Does Wash Her Hands In The Bathroom And she has a video to prove it."
Entertainment,Kanye West Demands Fan In Wheelchair Stand Up,,Kanye West Demands Fan In Wheelchair Stand Up 
Tech,What It's Like To Work As A Facebook 'News Curator',"Depending on whom you ask, Facebook is either the savior or destroyer of journalism in our time. An estimated 600 million","What It's Like To Work As A Facebook 'News Curator' Depending on whom you ask, Facebook is either the savior or destroyer of journalism in our time. An estimated 600 million"
Entertainment,Bill Maher Is Tired Of White People Self-Righteously Crapping On Themselves,"""It's a perverse sort of narcissism.""","Bill Maher Is Tired Of White People Self-Righteously Crapping On Themselves ""It's a perverse sort of narcissism."""
Health,Dr. David Agus On How To Live Longer And Better (VIDEO),"The key to living long and better? Taking advantage of what you can control when it comes to your health, says David B. Agus","Dr. David Agus On How To Live Longer And Better (VIDEO) The key to living long and better? Taking advantage of what you can control when it comes to your health, says David B. Agus"
Politics,Paris Attacks Suspect Salah Abdeslam Captured In Brussels,He is the only survivor of the 10 men believed to have carried out the November attacks.,Paris Attacks Suspect Salah Abdeslam Captured In Brussels He is the only survivor of the 10 men believed to have carried out the November attacks.
Tech,Facebook Outreach Tool Ignores Black Lives Matter,When Facebook launched a new system in January to help news outlets and other groups target posts to particular audiences,Facebook Outreach Tool Ignores Black Lives Matter When Facebook launched a new system in January to help news outlets and other groups target posts to particular audiences
Tech,Amazon Drones: Orwellian Mayhem?,"Amazon CEO Jeff Bezos unveiled his grand vision for drone attacks on our porches and personal spaces. From a warehouse to your front door, goods delivered in record time with minimal hassle. What could possibly go wrong with that? Pretty much everything and here's why.","Amazon Drones: Orwellian Mayhem? Amazon CEO Jeff Bezos unveiled his grand vision for drone attacks on our porches and personal spaces. From a warehouse to your front door, goods delivered in record time with minimal hassle. What could possibly go wrong with that? Pretty much everything and here's why."
Entertainment,#GOPSongs Is The Perfect Hashtag To Prep You For The GOP Debate,Nothing like Republican party tunes.,#GOPSongs Is The Perfect Hashtag To Prep You For The GOP Debate Nothing like Republican party tunes.
Sports,WATCH: 19-Year-Old Scores Late Winner For Belgium,,WATCH: 19-Year-Old Scores Late Winner For Belgium 
Sports,"Marv Albert On The Knicks, Brad Stevens And The State Of The NBA","""It can give you the chills sometimes,"" he said of his decades covering the NBA.","Marv Albert On The Knicks, Brad Stevens And The State Of The NBA ""It can give you the chills sometimes,"" he said of his decades covering the NBA."
Sports,Here's Why UConn Feels Right At Home In Madison Square Garden (VIDEOS),"While the NCAA Tournament stayed away from the city so nice they named it twice for 53 years, UConn have been regular visitors","Here's Why UConn Feels Right At Home In Madison Square Garden (VIDEOS) While the NCAA Tournament stayed away from the city so nice they named it twice for 53 years, UConn have been regular visitors"
Politics,Bernie Sanders Gives A Speech Divorced From Reality,He rallied supporters with a typical stump speech in Washington ahead of next week's primary -- the last of the season.,Bernie Sanders Gives A Speech Divorced From Reality He rallied supporters with a typical stump speech in Washington ahead of next week's primary -- the last of the season.
Politics,"As Trump Moves to Erect Trade Barriers, ‘Foreign Trade Zones’ Aim to Take Them Down","Several small towns and cities have created foreign trade zones as an economic development strategy, with mixed results.","As Trump Moves to Erect Trade Barriers, ‘Foreign Trade Zones’ Aim to Take Them Down Several small towns and cities have created foreign trade zones as an economic development strategy, with mixed results."
